,Name,Platform,Year,Genre,Publisher,Na Sales,Eu Sales,Jp Sales,Other Sales,Global Sales,Console Type,Console Manufacturer,Console Released,Console Discontinued,Consoles Sold
11132,Armored Core 3 Portable,PlayStation Portable,2009,Simulation,From Software,0.0,0.0,80000.0,0.0,0.08,Handheld,Sony,2004,2014,82000000.0
11133,Bleach: Erabareshi Tamashii,PlayStation 2,2005,Adventure,Sony Computer Entertainment,0.0,0.0,80000.0,0.0,0.08,Home,Sony,2000,2013,155000000.0
11134,The Croods: Prehistoric Party!,Nintendo DS,2013,Misc,D3Publisher,30000.0,40000.0,0.0,10000.0,0.08,Handheld,Nintendo,2004,2013,154020000.0
11135,Sengoku Musou 3: Moushouden,Wii,2011,Action,Ackkstudios,0.0,0.0,80000.0,0.0,0.08,Home,Nintendo,2006,2013,101630000.0
11136,Batman: Dark Tomorrow,GameCube,2003,Action,Kemco,60000.0,20000.0,0.0,0.0,0.08,Home,Nintendo,2001,2007,21740000.0
11137,Code Lyoko: Fall of X.A.N.A.,Nintendo DS,2008,Adventure,Game Factory,70000.0,0.0,0.0,10000.0,0.08,Handheld,Nintendo,2004,2013,154020000.0
11138,Looney Tunes: Galactic Sports,PlayStation 5,2015,Action,Sony Computer Entertainment,0.0,60000.0,0.0,20000.0,0.08,Home,Sony,2020,0,30000000.0
11139,Yuu Yuu Hakusho: Makyo Toitsusen,Sega Genesis/Mega Drive,1994,Fighting,Sega,0.0,0.0,80000.0,0.0,0.08,Home,Sega,1988,1997,30750000.0
11140,Rock Revolution,Wii,0,Misc,Unknown,70000.0,0.0,0.0,10000.0,0.08,Home,Nintendo,2006,2013,101630000.0
11141,Ogre Battle Series: Tactics Ogre,PlayStation,1997,Role-Playing,Atlus,40000.0,30000.0,0.0,10000.0,0.08,Home,Sony,1994,2006,102490000.0
11142,Little League World Series Baseball 2010,PlayStation 3,2010,Sports,Activision,70000.0,0.0,0.0,10000.0,0.08,Home,Sony,2006,2017,87400000.0
11143,Wordfish,Nintendo DS,2008,Puzzle,Ubisoft,70000.0,0.0,0.0,10000.0,0.08,Handheld,Nintendo,2004,2013,154020000.0
11144,Battlestar Galactica,Xbox,2003,Shooter,Vivendi Games,60000.0,20000.0,0.0,0.0,0.08,Home,Microsoft,2001,2009,24000000.0
